1	76	6339
2	77	3369
3	8	8538
4	1	604
5	5	5725
6	12	19137
7	151	16303
8	453	7884
9	9	9470
10	3	2081
11	104	11464
12	4	2747
13	12	19155
14	3	4619
15	98	19959
16	3	3604
17	12	7562
18	5	4963
19	23	6815
20	12	13689
21	90	11586
22	6	8948
23	841	16800
24	1502	24683
25	2	1542
26	0	557
27	8	6739
28	0	1539
29	2	4617
30	0	1766
31	1	4541
32	189	18867
33	1158	15489
34	4	2768
35	2	1212
36	1	2103
37	85	4460
38	7	5498
39	7	4531
40	1334	23906
41	1	928
42	5	4285
43	1	621
44	4	4558
45	5	3092
46	2	644
47	94	8636
48	77	2152
49	5	1017
50	3	3408
51	677	8098
52	13	12678
53	8	8704
54	1	4533
55	7	5177
56	4	2484
57	0	3949
58	3	2736
59	1	1511
60	146	1819
61	0	1840
62	2	1463
63	3	3661
64	259	4454
65	0	935
66	1	608
67	1	2177
68	3	1490
69	1	600
70	2	1049
71	1	2407
72	0	584
73	3	613
74	0	311
75	0	624
76	2	583
77	1	581
