 #             SYNDROME  4/16-4/22  4/23-4/29   4/30-5/6   5/7-5/13  5/14-5/20  5/21-5/27   5/28-6/4   6/5-6/11  6/12-6/18  6/19-6/25   6/26-7/2 TOTAL
 1                "LOC"     1131      1384      1155      1031       985      1201      1652      1119      1190      1126       908     12882
 1                "LOC"        1         1         0         1         1         2         2         1         3         1         0        13
 2    "MENTAL PROBLEMS"     4257      5037      4960      5374      5569      5084      5828      3817      4238      3948      3111     51223
 2    "MENTAL PROBLEMS"        1         2        37       134       233       285       201        40        10         6         4       953
 3           "HEADACHE"     4420      5323      4635      4857      4863      4938      6230      4216      4648      4331      3423     51884
 3           "HEADACHE"        1         1        25        79       116       150        81        24        10         6         5       498
 4     "HEART PROBLEMS"     3255      3670      2928      2725      2659      3182      4233      2934      3237      2934      2420     34177
 4     "HEART PROBLEMS"        2         3         4         3         3         4         4         1         0         2         3        29
 5      "NOSE PROBLEMS"     1175      2122      3631      5896      6312      3826      2377      1199      1184      1083       823     29628
 5      "NOSE PROBLEMS"        1         1        71       299       617       788       414        97        24        13         0      2325
 6    "THROAT PROBLEMS"     1041      1252       933       901       851      1023      1376       965      1121      1076       749     11288
 6    "THROAT PROBLEMS"        0         1         2         0         2         1         1         2         1         2         0        12
 7        "MED RELATED"     2087      2209      1866      1712      1656      1950      2645      1779      2165      1882      1500     21451
 7        "MED RELATED"        0         3         3         4         1         0         5         3         3         3         1        26
 8           "LEG PAIN"     2617      3073      2997      3186      3174      2964      3514      2321      2905      2379      1995     31125
 8           "LEG PAIN"        0         2        18        64       130       171        83        23         7         3         3       504
 9       "EYE PROBLEMS"     3691      4596      4392      5153      5017      4743      5002      3469      3634      3449      2647     45793
 9       "EYE PROBLEMS"        1         2        35       142       239       302       176        29        16         3         4       949
10  "DIABETIC PROBLEMS"      717       856       663       610       580       715       981       652       714       662       500      7650
10  "DIABETIC PROBLEMS"        0         0         0         1         1         0         0         0         2         0         1         5
11          "KNEE PAIN"     1079      1174       983       936       848      1047      1415       993      1105      1000       765     11345
11          "KNEE PAIN"        0         2         0         2         2         2         0         1         1         1         0        11
12      "NECK PROBLEMS"      626       910      1135      1499      1649      1152      1070       593       684       606       488     10412
12      "NECK PROBLEMS"        0         0        12        65       131       159        98        26         9         1         0       501
13              "FEVER"     4420      5045      4121      3674      3679      4301      5823      4148      4418      4216      3357     47202
13              "FEVER"        0         5         5         4         2         2         6         3         6         3         3        39
14               "RASH"     4495      5002      4207      3700      3717      4429      5844      4056      4464      4207      3449     47570
14               "RASH"        2         6         5         2         3         5        11         5         5         2         1        47
15                "SOB"      636       738       565       528       462       594       848       531       669       611       438      6620
15                "SOB"        0         2         1         0         0         1         1         0         0         0         0         5
16    "KIDNEY PROBLEMS"     1053      1199       984       927       886      1072      1388      1010      1002      1026       773     11320
16    "KIDNEY PROBLEMS"        0         1         1         2         0         2         0         1         0         0         3        10
17           "ABD PAIN"     3117      7027     12939     21192     23451     13129      7239      3350      3235      2999      2307     99985
17           "ABD PAIN"        1         9       317      1184      2192      2861      1627       401       104        25         0      8721
18           "EAR PAIN"     1842      2291      2260      2537      2646      2393      2624      1763      1914      1726      1340     23336
18           "EAR PAIN"        0         5        16        71       123       177        77        26         4         1         2       502
19        "ANIMAL BITE"      635       716       611       545       519       598       843       563       590       566       452      6638
19        "ANIMAL BITE"        0         0         0         0         0         2         1         0         0         0         0         3
20         "CHEST PAIN"     2029      2347      1896      1755      1634      1985      2671      1889      2061      1962      1487     21716
20         "CHEST PAIN"        0         1         3         2         2         2         1         3         5         6         0        25
21    "DENTAL PROBLEMS"      897      1087       864       814       748       885      1152       886       933       913       700      9879
21    "DENTAL PROBLEMS"        1         0         0         2         1         1         3         1         1         1         1        12
22         "FACIAL LAC"     1296      1824      1796      2146      2179      1822      2036      1229      1428      1295      1066     18117
22         "FACIAL LAC"        0         0        16        55       137       135        77        26         7         1         2       456
23     "MOUTH PROBLEMS"      225       241       192       196       177       238       299       183       245       202       136      2334
23     "MOUTH PROBLEMS"        0         1         0         0         0         0         0         0         0         1         0         2
24    "SPEECH PROBLEMS"     1370      1564      1249      1211      1149      1324      1821      1204      1386      1272      1008     14558
24    "SPEECH PROBLEMS"        0         1         1         1         1         0         2         0         2         0         0         8
25          "BODY PAIN"     2206      2616      2111      1916      1843      2176      3017      2105      2401      2145      1689     24225
25          "BODY PAIN"        0         2         2         2         1         2         3         3         2         1         3        21
26           "ACCIDENT"      924       972       760       727       689       836      1146       768       866       803       642      9133
