 #             SYNDROME  4/16-4/22  4/23-4/29   4/30-5/6   5/7-5/13  5/14-5/20  5/21-5/27   5/28-6/4   6/5-6/11  6/12-6/18  6/19-6/25   6/26-7/2 TOTAL
 1              "FEVER"     2195      2844      2788      2659      2108      2720      2873      3011      2860      3257      1265     28580
 1              "FEVER"        0         3         7         1         3         0         3         4         1         2         5        29
 2               "RASH"     2158      2845      2816      2696      2207      2769      2849      3001      2921      3371      1191     28824
 2               "RASH"        0         3         3         4         0         2         2         5         2         1         3        25
 3        "MED RELATED"      964      1295      1311      1181       965      1248      1336      1344      1255      1573       598     13070
 3        "MED RELATED"        0         2         1         2         4         0         3         0         1         1         0        14
 4      "NECK PROBLEMS"      288       424       508       615       716       791       559       446       437       501       197      5482
 4      "NECK PROBLEMS"        0         0         0         7        34        44        62        17         9         2         0       175
 5          "BACK PAIN"     1155      1740      2715      3884      5681      5409      3143      1900      1580      1839       698     29744
 5          "BACK PAIN"        0         2         4       120       298       557       591       199        54        27         1      1853
 6          "BODY PAIN"     1091      1484      1486      1436      1150      1387      1529      1528      1484      1746       674     14995
 6          "BODY PAIN"        0         2         0         3         0         2         1         1         3         1         2        15
 7    "DENTAL PROBLEMS"      461       569       535       611       443       566       626       586       541       714       270      5922
 7    "DENTAL PROBLEMS"        0         1         0         0         2         0         2         0         0         1         0         6
 8           "DIARRHEA"      320       457       690      1082      1576      1512       898       506       428       553       164      8186
 8           "DIARRHEA"        0         0         4        38        62       144       163        51         8         3         1       474
 9    "URINARY PROBLEM"     1220      1684      1756      1766      1660      1957      1914      1710      1637      1971       707     17982
 9    "URINARY PROBLEM"        0         3         1        16        26        45        46        19         8         6         1       171
10     "HEART PROBLEMS"     1519      2083      2082      2027      1621      2064      2137      2137      2080      2419       900     21069
10     "HEART PROBLEMS"        1         1         0         2         1         5         2         4         3         4         2        25
11              "OTHER"      476       642       643       581       513       621       666       629       677       770       282      6500
11              "OTHER"        0         0         0         0         2         0         1         0         0         1         0         4
12           "HEADACHE"     2121      3002      3055      3089      2620      3162      3240      2998      2896      3482      1299     30964
12           "HEADACHE"        2         5         5        13        25        67        54        18        10         4         1       204
13           "EAR PAIN"      875      1151      1322      1341      1240      1518      1423      1244      1188      1402       541     13245
13           "EAR PAIN"        0         0         2        11        26        52        59        25         1         2         1       179
14              "WOUND"      647       826       842       820       610       836       837       872       763       984       338      8375
14              "WOUND"        0         3         0         1         1         1         1         0         2         0         1        10
15           "ABD PAIN"     1467      2174      3924      6190      9117      8635      4879      2588      2138      2356       857     44325
15           "ABD PAIN"        1         1         9       198       551       904      1061       353       105        23         7      3213
16          "SIDE PAIN"      573       753       718       690       579       695       741       756       699       869       321      7394
16          "SIDE PAIN"        0         2         1         1         0         0         1         1         0         0         1         7
17          "HAND PAIN"     1446      1918      1864      1846      1468      1831      1955      2044      1860      2270       863     19365
17          "HAND PAIN"        0         0         1         4         1         2         5         2         0         2         2        19
