 #             SYNDROME  4/16-4/22  4/23-4/29   4/30-5/6   5/7-5/13  5/14-5/20  5/21-5/27   5/28-6/4   6/5-6/11  6/12-6/18  6/19-6/25   6/26-7/2 TOTAL
 1           "HIP PAIN"       74       134        98        85        78       103        90        92        74       114        78      1020
 1           "HIP PAIN"        0         0         0         0         0         0         0         0         0         1         0         1
 2        "MED RELATED"      161       315       239       209       220       226       213       257       247       284       160      2531
 2        "MED RELATED"        0         0         0         0         0         0         0         0         0         1         1         2
 3    "SPEECH PROBLEMS"      118       222       178       133       159       169       141       196       154       193       122      1785
 3    "SPEECH PROBLEMS"        1         0         0         0         0         0         0         0         0         0         0         1
 4           "HEADACHE"      381       724       626       561       533       629       535       625       535       645       403      6197
 4           "HEADACHE"        0         0         2        12         3         6        12         3         1         0         0        39
 5              "FEVER"      399       697       543       475       445       588       517       595       493       665       398      5815
 5              "FEVER"        0         0         0         0         1         3         0         2         0         1         0         7
 6  "VOMITING ABD PAIN"       53       167       393       613       881       722       339       131        92       100        69      3560
 6  "VOMITING ABD PAIN"        0         0         0        28        62       102       102        31         7         2         0       334
 7    "MENTAL PROBLEMS"      319       640       553       531       598       665       510       521       500       610       373      5820
 7    "MENTAL PROBLEMS"        0         1         0         8        13        27        24         7         1         0         2        83
 8 "ABD PAIN BACK PAIN"       16        39        95       115       214       165        60        37        14        20        16       791
 8 "ABD PAIN BACK PAIN"        0         0         1         7         6        30        21         6         3         1         0        75
 9    "THROAT PROBLEMS"      103       159       130       109       102       123       112       147       112       165        94      1356
 9    "THROAT PROBLEMS"        0         0         0         0         0         0         0         0         0         0         0         0
10              "OTHER"      100       176        99        98        99       118       109       121       132       153        72      1277
10              "OTHER"        0         0         0         0         0         0         0         0         0         0         0         0
11          "BACK PAIN"      217       463       689       858      1285      1033       602       389       298       331       205      6370
11          "BACK PAIN"        0         0         3        59        63       115       113        50        14         3         1       421
12  "VOMITING DIARRHEA"      139       336       720      1057      1523      1239       554       280       201       199       131      6379
12  "VOMITING DIARRHEA"        0         0         3        54       102       156       155        49        13         2         0       534
13 "BREATHING PROBLEMS"      176       353       257       223       180       249       189       274       232       280       192      2605
13 "BREATHING PROBLEMS"        0         1         0         1         1         0         0         0         0         0         1         4
14    "URINARY PROBLEM"      239       415       351       341       339       366       314       336       312       344       256      3613
14    "URINARY PROBLEM"        0         0         0         4         9        13        17         4         1         1         0        49
15           "ABD PAIN"      260       610      1036      1423      2000      1717       862       510       383       450       270      9521
15           "ABD PAIN"        1         0         9        87       157       226       207        70        18         4         1       780
16    "EATING PROBLEMS"      105       156       127       100       121       140       105       136       101       140        83      1314
16    "EATING PROBLEMS"        0         0         0         0         0         1         0         0         0         1         0         2
17          "SIDE PAIN"       97       188       129       126       127       143       135       142       156       168       114      1525
17          "SIDE PAIN"        0         0         0         0         0         0         0         0         0         0         1         1
18     "STOOL PROBLEMS"       34        74        60        59        61        54        72        74        55        76        57       676
