 1           "BLEEDING"        22       666      7386     29525     41910     21581      4347       346        11         0      105794
 1           "BLEEDING"         0         5        63       178       165        21        10         0         0         0         442
 2              "FEVER"        86      1786     19175     76985    115015     63149     13200       962        24         0      290382
 2              "FEVER"         0         1        18        78       100        45        11         0         0         0         253
 3           "EAR PAIN"        29       885      9078     35819     52913     29527      6136       510        16         0      134913
 3           "EAR PAIN"         0        12       135       503       695       414        90        10         0         0        1859
 4               "RASH"        51      1811     19350     77781    115022     63918     13020       980        32         0      291965
 4               "RASH"         0         2        17        75       113        58        11         1         0         0         277
 5      "SHOULDER PAIN"        19       423      4746     18282     27978     15352      3112       226         9         0       70147
 5      "SHOULDER PAIN"         0         2         6        13        18        17         3         1         0         0          60
 6           "ACCIDENT"        11       364      3590     14853     22094     12297      2460       206         6         0       55881
 6           "ACCIDENT"         0         1         6         8        20        17         2         0         0         0          54
 7       "EYE PROBLEMS"        60      1735     17881     70170    104251     58211     12092       969        32         0      265401
 7       "EYE PROBLEMS"         3        24       260       964      1371       754       190        15         0         0        3581
 8        "MED RELATED"        31       796      8728     34766     52077     29054      5721       485        20         0      131678
 8        "MED RELATED"         0         0        12        48        48        22         6         0         0         0         136
 9  "PREGNANCY RELATED"        14       529      5074     20003     28922     15656      3214       259         6         0       73677
 9  "PREGNANCY RELATED"         1        20       124       511       647       358        99         9         0         0        1769
10           "VOMITING"       165      3312     30217    112937    165155     94769     21145      1839        54         0      429593
10           "VOMITING"        17       244      2159      7660     10945      6431      1602       169         8         0       29235
11         "ANKLE PAIN"        24       680      6965     27304     40580     22513      4548       377         6         0      102997
11         "ANKLE PAIN"         0         0         5        24        41        21         6         0         0         0          97
12 "ABD PAIN BACK PAIN"        17       306      2517      9439     13576      7682      1733       141         8         0       35419
12 "ABD PAIN BACK PAIN"         1        40       234       932      1346       738       147        12         0         0        3450
13        "THROAT PAIN"         3        31       289      1247      1786      1060       186        11         0         0        4613
13        "THROAT PAIN"         0         0         0         2         2         0         0         0         0         0           4
14           "HEADACHE"        84      2046     20827     82266    123174     67872     14193      1101        28         0      311591
14           "HEADACHE"         0        14       151       512       731       458        99        13         1         0        1979
