1	17	15324
2	12	15047
3	13	14714
4	11	13684
5	12	12391
6	4	10863
7	8	10527
8	5	10331
9	10	10285
10	9	8693
11	4	8667
12	3	8224
13	11	7621
14	5	7002
15	8	6818
16	4	6731
17	4	6240
18	7	5849
19	5	5451
20	4	5313
21	12	5146
22	4	4627
23	8	4552
24	2	4239
25	7	4095
26	4	3930
27	6	3874
28	8	3668
29	3	3666
30	1	3633
31	2	3603
32	2	3562
33	4	3533
34	3	3387
35	3	3071
36	2	3066
37	4	2862
38	5	2839
39	1	2626
40	2	2438
41	2	2154
42	3	2145
43	1	2143
44	4	2133
45	0	2125
46	1	2055
47	1	2011
48	4	1860
49	6	1707
50	0	1700
51	1	1670
52	2	1458
53	1	1455
54	2	1240
55	1	1233
56	1	1220
57	0	1204
58	2	1188
59	0	1168
60	1	1004
61	1	865
62	0	762
63	0	711
64	0	692
65	0	508
66	0	497
67	1	479
68	0	478
69	1	477
70	0	477
71	3	465
72	0	465
73	0	461
74	1	460
75	1	451
76	0	443
77	0	231
